HostHaloID,HostMtot(Msun)
1561636,56627944700000.0
1581385,56696771700000.0
1664541,65896310800000.0
1758257,76721084900000.0
1808858,88585572200000.0
1827559,68747798200000.0
1847383,74620505200000.0
1954735,61700317600000.0
1983863,66457221400000.0
2002628,67282031000000.0
2013898,61537352300000.0
2071135,69825404900000.0
2199507,60792721300000.0
2227715,50357626500000.0
2246014,88945853500000.0
2290169,95289178400000.0
2290206,62577505200000.0
2507502,77403350300000.0
2592446,111014852000000.0
2623756,67803083800000.0
2734822,79589593200000.0
2885792,136250724000000.0
2892837,78467281500000.0
2937863,50121910900000.0
2944981,126646991000000.0
3016893,62245406400000.0
3069850,72414939400000.0
3094112,69333486400000.0
3178107,136538908000000.0
3200641,68130346200000.0
3226680,67991564200000.0
3259117,51431985800000.0
3284456,63572912600000.0
3355500,56398488700000.0
3359016,50361749200000.0
3540174,50045386600000.0
3651767,156713469000000.0
3672299,72648090800000.0
3689051,104609780000000.0
3700933,104709483000000.0
3744183,59147900300000.0
3748260,98514944800000.0
3780410,54313994500000.0
3811219,70561682700000.0
3882383,77837184500000.0
3889787,147092570000000.0
3929760,58894647800000.0
3929767,95018571800000.0
3929805,84020176300000.0
3933724,111764105000000.0
3945090,70423128600000.0
4040811,61694189700000.0
4063505,117933978000000.0
4068321,97907094800000.0
4081915,185041890000000.0
4083100,70213337800000.0
4147752,80735974800000.0
4195553,68128508200000.0
4226110,197617461000000.0
4289749,138678487000000.0
4309863,86790333400000.0
4328263,69749478300000.0
4415004,105388927000000.0
4465008,96343176800000.0
4465020,150649307000000.0
4477204,57559574100000.0
4481843,59236487200000.0
4481851,84824607400000.0
4549606,114615306000000.0
4560890,80764634200000.0
4617549,64774188900000.0
4622511,140191373000000.0
4658833,85221139600000.0
4658856,60095801400000.0
4714730,96720670900000.0
4827650,241413525000000.0
4838809,60741973000000.0
4899516,70652559500000.0
4901245,84557147000000.0
4921745,77222602200000.0
4966761,93792601300000.0
4968706,71470803500000.0
5011121,268700721000000.0
5028157,87674207200000.0
5033760,56122811600000.0
5044774,100498626000000.0
5049205,119416429000000.0
5208836,220413999000000.0
5259095,50403865900000.0
5265012,74251192600000.0
5332403,209713177000000.0
5358495,128697397000000.0
5375604,58118911100000.0
5409575,91679901300000.0
5462023,107662692000000.0
5493185,58628892700000.0
5520106,109812702000000.0
5548455,147675420000000.0
5573913,83840763000000.0
5634590,58715767700000.0
5638753,59964256600000.0
5699819,78639222800000.0
5715147,69416073800000.0
5753402,151897127000000.0
5816171,59093070700000.0
5871163,72676490100000.0
5884858,215332886000000.0
5957816,53735519600000.0
5960768,93866180000000.0
5979633,61933879600000.0
6143068,51114799200000.0
6163362,91886775400000.0
6234554,57309096400000.0
6296509,84837792100000.0
6300154,59727276500000.0
6300164,67365420000000.0
6324375,79146953300000.0
6348998,107264368000000.0
6379898,58482901600000.0
6432794,68514905000000.0
6490130,53470925800000.0
6515835,112383698000000.0
6550004,55778914900000.0
6619898,53739758600000.0
6702203,66118101300000.0
6732705,85796294800000.0
6898337,230828054000000.0
6904035,134980398000000.0
6907470,132039812000000.0
6919328,54311820300000.0
6921386,246642271000000.0
6955851,66239041200000.0
6957056,143633661000000.0
6975241,70757729600000.0
6981495,67578101500000.0
7033920,96363433900000.0
7045189,63126451400000.0
7050142,110863668000000.0
7055776,65155474200000.0
7076724,106555141000000.0
7098679,67360912300000.0
7132535,289524144000000.0
7142193,95855447000000.0
7156868,87026669400000.0
7157633,96771642900000.0
7179669,189024542000000.0
7218678,70086605900000.0
7231399,105405991000000.0
7241208,74945019900000.0
7255539,88750860500000.0
7256231,203810371000000.0
7257320,57915664700000.0
7265673,76996096100000.0
7265674,69098408900000.0
7265676,68158136900000.0
7265677,83267698600000.0
7265678,50040534900000.0
7265679,60212332200000.0
7265682,61067349800000.0
7265685,71273804800000.0
7265686,94884296200000.0
7265688,104996240000000.0
7265692,199053901000000.0
7265693,145423770000000.0
7265698,155397545000000.0
7265700,151219930000000.0
7265701,311450043000000.0
7265702,256470006000000.0
7265708,197606191000000.0
7265709,335063030000000.0
7265710,315833741000000.0
7265711,312094044000000.0
7265712,408936552000000.0
7265713,296439332000000.0
